track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5K7AMlpc4796JRWXb26nCV,0.371,0.609,11,-5.524,1,0.0295,0.386,0,0.104,0.426,136.526,266533,3
610NMdGkbuDhaJOkOx9RaO,0.538,0.801,6,-5.253,0,0.0435,0.0095,8.67E-06,0.106,0.721,83.002,219347,4
2WIHlGFE1Az0lGDoGaDpBR,0.51,0.526,0,-10.458,1,0.0349,0.491,0.429,0.076,0.0383,105.011,221033,4
5nCthAh3jt4xKuLJAifAaR,0.722,0.757,10,-6.207,0,0.132,0.185,6.32E-06,0.126,0.721,140.094,185815,4
78SisrpqN9rYxNwFbpQ7JX,0.777,0.737,5,-6.025,0,0.0661,0.494,0,0.159,0.796,107.065,242689,4
6bwCQXVJE72OH53jIArJCn,0.758,0.572,5,-6.686,0,0.0415,0.556,3.14E-06,0.118,0.436,119.046,181513,4
6eXAHYMKzYzDyQ9td3Z7ET,0.284,0.333,0,-8.169,1,0.0268,0.699,0,0.128,0.135,78.731,261053,4
1W0kcrI7tQsIQRIwXwFnGy,0.491,0.562,0,-5.906,1,0.0515,0.751,0,0.123,0.449,143.921,269349,4
4BX9utrulgT68sAqwWjrkZ,0.543,0.883,10,-4.247,1,0.065,0.0667,8.49E-05,0.156,0.523,157.815,165685,4
11d9oUiwHuYt216EFA2tiz,0.98,0.535,2,-16.035,1,0.058,0.027,1.68E-06,0.104,0.675,115.744,271467,4
6skSqCHczm7efKEzc23W4w,0.637,0.719,2,-6.904,1,0.0518,0.27,0.793,0.0701,0.279,90.043,389333,4
0Vkp84E4KHl53MtEz1ZkIK,0.527,0.735,8,-3.24,1,0.0498,0.0158,0,0.103,0.711,155.126,229893,4
3S7HNKPakdwNEBFIVTL6dZ,0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,242720,4
1PM8OIREXRl5lFb06852rr,0.718,0.681,5,-4.593,0,0.0361,0.253,1.88E-05,0.208,0.356,139.998,160286,4
3KTVQGLS2np8dWe5s4F9EN,0.738,0.689,2,-5.715,1,0.0327,0.167,0.453,0.413,0.416,102.021,178427,4
1f6BCvvF3Ww5jZhmEnvyFv,0.661,0.769,0,-5.09,1,0.0791,0.0399,0,0.338,0.428,103.188,209047,4
3O4DdB07AoPwvy1fsIToiT,0.753,0.679,5,-4.792,1,0.0569,0.139,0,0.148,0.688,117.961,141829,4
30RZAuEkYeDXvy46Iv6l7E,0.701,0.5,8,-8.82,1,0.0303,0.46,0,0.234,0.409,97.028,205400,4
29qMr89mdYMCeaGSpqkfPA,0.574,0.825,6,-4.364,1,0.0392,0.0768,0,0.111,0.479,141.962,266853,4
5PNvgiKSwMdjBsDsgFCFLX,0.881,0.661,11,-7.681,0,0.0343,0.098,0.0187,0.101,0.965,124.023,181306,4
0eqH0ALoDQevq59YcQ53KE,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17E-06,0.0234,0.904,110.007,199853,4
46CCO71thiprj0lOE13aay,0.564,0.745,11,-4.102,0,0.0299,0.000981,1.38E-06,0.358,0.345,107.96,248547,4
23n9kjjjuGOtkThkaKeKCS,0.298,0.481,2,-9.222,1,0.0767,0.353,0,0.1,0.199,80.305,211250,5
2aniiMAbFXjyUPPg3wpDpo,0.739,0.443,1,-13.002,1,0.0266,0.57,0.000895,0.0798,0.502,95.538,273413,4
1rsAFUCa6BVMgRQ3FCQQsi,0.803,0.789,10,-3.434,0,0.0383,0.0304,0,0.378,0.647,119.999,106021,4
2VTKYLApSsldSzibuNVLsq,0.754,0.774,4,-7.458,1,0.0476,0.559,0,0.112,0.757,107.974,236040,4
57lRsvbkdkaGnQ5xksw7rq,0.538,0.538,0,-7.144,1,0.0308,0.0291,0,0.246,0.494,83.999,254412,3
5V3CinWTBUD3goeV816B3g,0.411,0.398,2,-8.331,1,0.0316,0.179,0.0109,0.238,0.141,179.905,290640,4
4ZQTNtS5p2xecoOkW2yL1Y,0.558,0.555,11,-8.818,0,0.0509,0.393,7.63E-05,0.104,0.802,184.211,224667,4
52TEZQ5bTDa5qhnHD0hLQb,0.594,0.805,1,-6.668,1,0.0311,0.00148,0.00049,0.0766,0.693,122.035,243410,3
0KQQ89lapr8i6uabEwLrpF,0.572,0.624,0,-6.758,1,0.0561,0.691,1.93E-06,0.0952,0.553,147.708,264480,4
5RIqGoOE9FAfnXpkH5fBIh,0.688,0.528,2,-6.997,1,0.121,0.144,0.000164,0.109,0.801,128.511,194428,5
33FTQ352HwDCGLq9ckDP6V,0.771,0.487,11,-9.485,1,0.0477,0.268,4.30E-05,0.125,0.509,101.989,188254,4
4663ji2gG1RIsqDlxrpSOS,0.593,0.592,10,-5.798,0,0.078,0.311,0.000319,0.108,0.325,150.097,224000,4
4PgPnzbAgjCQ2eA6YAWcUw,0.692,0.912,9,-7.733,1,0.0513,0.00456,0.00273,0.0616,0.642,104.862,238533,4
0gGsufaSaPKRB7bttUIggD,0.58,0.758,6,-3.589,1,0.0313,0.0277,1.27E-05,0.0986,0.175,129.885,307667,4
46ZfPS5VpSQVU5gb82hg3K,0.458,0.976,0,-3.791,1,0.0459,0.00182,0,0.193,0.76,154.007,218867,4
2aslQ7Sf7MdDbRPbac0Cy4,0.725,0.687,1,-4.806,0,0.0247,0.0371,5.27E-06,0.101,0.655,95.007,176987,4
49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4
5o9ikk4ATCfq3NNVQJXDpc,0.566,0.863,2,-3.835,1,0.0621,0.0509,0,0.106,0.864,155.131,175907,4
17Efhyf4A96n0EFXKeB7Ya,0.582,0.681,5,-6.138,1,0.0458,0.342,0,0.186,0.273,95.995,230000,4
7stcGiG3ssPOHa7WZK7flD,0.861,0.515,0,-11.41,0,0.169,0.814,0.000138,0.103,0.689,120.038,192000,4
0CAfXk7DXMnon4gLudAp7J,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,231400,4
1uHfCC9qFChGhiSarUWq1B,0.694,0.556,5,-6.763,1,0.14,0.501,0,0.103,0.547,99.972,181823,4
5kzrQy4whV7y9Amu8wKRax,0.573,0.765,6,-6.594,1,0.0305,0.00107,5.74E-05,0.114,0.359,100.024,253480,4
