artist_id,artist_name,popularity,followers
0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,52,275462
5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,62,2131874
7C3Cbtr2PkH2l4tOGhtCsk,Shallou,59,192184
6jJ0s89eD6GaHleKKya26X,Katy Perry,83,21677923
5fYMwzhko3iLCsqNhy07NG,MEAN,46,341023
5Dq2DMerDcvcdlzPTmo6Jn,KAYDEN,51,71269
2441D23VoQ3Ubtjfn266DI,Turn On,19,159
1qz5HLBHOge1yHlMVAZ9hO,ETC.,40,163700
3hyEbRtp617pNCuuQjyOmc,Lost Kings,59,359996
7GXXMm3DB1VswVcuGyInUd,Vanilla Ice,55,397968
2DfP0hQCCFmZHjstSE8yXC,Anoraak,39,45871
2wpJOPmf1TIOzrB9mzHifd,Scouting For Girls,56,316174
06HL4z0CvFAxyc27GXpf02,Taylor Swift,92,54532205
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,75,2364099
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,69,1267379
2ZuweXv0TkfsidZOLZZoM2,HEDEGAARD,57,67244
5iWU68xnsNiacwbt1fYEcq,Conor Matthews,47,38014
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,73,4152092
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,73,4561038
0ukgrNYk51TkMQr0f2Br4Q,Maverick Sabre,61,244038
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,72,5400856
76VTagPgPgPlFE7hfjT0Zt,Bodyslam,45,830104
0mXq227LEoIqWSv4bTuGe2,Thoreau,42,8572
6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,47,246884
3wyVrVrFCkukjdVIdirGVY,Lil Pump,66,7993634
0cGfitvwmFr2sSywioWYNM,Whatcharawale,51,482622
6thrjKf05P1bBsrsjYSuMw,JETSET'ER,39,87714
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,72,8869771
6Gymwy9eHYItH2v7MYPRjB,Lula,41,294118
3Ayl7mCk0nScecqOzvNp6s,Jimmy Eat World,65,1304435
6PxzZjL7BTh5Dr6rkyMXb5,Skykick Ranger,27,8596
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,69,582116
29yIRv8gkNZbAX1J1RlfXx,Lash,36,2718
3kOPviLsiuKCFTTsHc47lI,Clinton Sparks,27,5307
0SdiiPkr02EUdekHZJkt58,Hanson,58,402835
2xjp1njSsecnNhjgKZ35Ok,Silly Fools,48,783453
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,75,4791278
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,73,4137911
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,86,49041557
45eNHdiiabvmbp4erw26rg,ILLENIUM,71,1264602
79oW06N8yKp6hKp71ieN7L,okaywill,35,6533
0jnsk9HBra6NMjO2oANoPY,Flo Rida,77,8576597
3IYNUniWKkMmHKUHssC392,Palm Trees,43,6091
2PCUhxD40qlMqsKHjTZD2e,Parachute,58,633787
0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space,59,180570
0ekbDNE2eOq8QiaXM34wer,Howie Day,54,300029
6TNTFjkJA8PhP16Ds7CZnz,Slot Machine,49,326727
2wOi2qbLUki1fdXM14aki4,Playground,33,114924
444HDWJ9nggNbvuxbCikY3,lightcraft,13,1290
5Z1CCuBsyhEHngq3U5IraY,Westlife,68,2949182
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,70,2500321
5MmVJVhhYKQ86izuGHzJYA,MIKA,67,1255345
0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,65,3243567
4D75GcNG95ebPtNvoNVXhz,Afrojack,72,3865457
3idQlYHIpkPc7NjGqeCerH,Mr.Team,32,46690
21GGkCJG1qIYnAe8rNUgvu,Peacemaker,31,222192
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,90,62166458
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,81,13819399
3sKeaby6GMSJWgYueZaSjE,Mokita,61,124310
4LLpKhyESsyAXpc4laK94U,Mac Miller,82,7644533
4qWnlmXWuGv2TtuxtIWlJX,BANNERS,65,501359
5PokPZn11xzZXyXSfnvIM3,Lifehouse,62,1807629
3LpLGlgRS1IKPPwElnpW35,James Morrison,62,1481710
2D4lHamKko8RZnGsn9vOpj,Buddha Bless,28,52190
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,70,7812768
25vaRIUlu5PahDqAWeYdxR,The Parkinson,45,127314
3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,65,2131871
4WMjmVKaSDCmrsX9EHzwSw,Breakfast In Bed,26,208
23zg3TcAtWQy7J6upgbUnj,Usher,77,9755235
3wkt8lIJGhuZ1vl47UPkjb,Aof Pongsak,33,57987
4ScCswdRlyA23odg9thgIO,Jess Glynne,71,2765395
3aBkeBhwadnWMWoVJ2CxJC,Rob Thomas,60,783215
5WHKBKrvTBMPoQX3v3Bq8J,Leah Nobel,44,16624
7G4qd0NlBQf4AxC0klpuDY,Slur,35,65220
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,68,922026
0ZzYDST6Dib7iYd8hmcLcH,M2M,51,367286
2mpeljBig2IXLXRAFO9AAs,Dido,70,1393343
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,72,1983709
2SWWw5uB9cO5m7zJQZqwmr,BOWKYLION,53,429846
3lHykUJhLCSYsiUaOQhIy4,Room 39,43,22138
2DaMrZndfGgM3yd9ivadRC,Lipta,52,397634
6p0HFtE6QhdHNY1H4Nk0mo,Maddi Jane,35,80115
4LZ4De2MoO3lP6QaNCfvcu,Said The Sky,58,244107
2j6j8IacuvYF4zgiF7e6t8,Praw Kanitkul,32,107130
3RnRECOTd7fAWTPgmwRYMc,Lomosonic,32,80009
4ERtgeBbWRkFzIz6LaFCeY,Dashboard Confessional,56,541785
2S9W9aSAd7e5mp8WqWxN2h,Hilary Duff,57,2102056
7CyeXFnOrfC1N6z4naIpgo,The Ronettes,55,209838
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,67,3651856
1YCg92J7dlalGF4bReLCKk,2morro,24,1442
163tK9Wjr9P9DmM0AVK7lm,Lorde,75,9616219
7wg1qvie3KqDNQbAkTdbX0,Louis The Child,64,442092
6RQyog3L4JlA8t8Bf56otE,Potato,44,594296
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,80,19188658
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,86,36451337
6VPUQ3UqHxeeVvROl2kZqb,Lukr,28,5989
6KImCVD70vtIoJWnq6nGn3,Harry Styles,94,21538710
7nU4hB040gTmHm45YYMvqc,Hannah Montana,63,4058773
5g3uG8zZZANGT6YOssgjfC,Lenka,50,226465
0vFPtjKC5Mqd14ZbBPKfRZ,Hum,26,1099
5cVeSOiS002MF1uiUFOPV5,Mob Rich,44,27492
5pokGZ1K9Hr6etaKPDxSG8,THE TOYS,54,976875
5UjifI1TYefXWn9GdqDOHl,Social House,64,138477
5JZ7CnR6gTvEMKX4g70Amv,Lauv,77,5068187
2LXeJdQVcFkhkWydphLI74,Liz Phair,46,141857
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,75,5912457
246dkjvS1zLTtiykXe5h60,Post Malone,90,37270232
2ynrjBfi2sZwoHaejMInRv,The Moffatts,38,112650
7hbsjraQ0ce8UcmoWVoIe8,Emma Klein,29,9633
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,76,9772747
3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,65,2332176
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,86,64306544
2DaxqgrOhkeH0fpeiQq2f4,Oasis,74,7447874
3inCNiUr4R6XQ3W43s9Aqi,Pavement,57,437355
4lMgbK9q8m09Uey9zXJ6vt,แบมแบม นีวิรินทน์,0,205
39R87tT1qaTxHwu5m87USa,EXES,43,100676
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,83,27075121
26dSoYclwsYLMAKD3tpOr4,Britney Spears,78,11016562
2iLCiSxdwUMDEfqyfkuLEw,Atom Chanakan,46,661055
3mIj9lX2MWuHmhNCA7LSCW,The 1975,72,5630351
2Kx7MNY7cI1ENniW7vT30N,Norah Jones,69,2801733
4SqTiwOEdYrNayaGMkc7ia,LÉON,63,334596
4WN5naL3ofxrVBgFpguzKo,Rudimental,67,1329411
6d4jrmreCmsenscuieJERc,The Band CAMINO,62,302749
0bdfiayQAKewqEvaU6rXCv,MØ,68,1382089
79BUGg8I39oq0mSeIetvob,DIKKA,46,10120
1E2AEtxaFaJtH0lO7kgNKw,Russell Dickerson,66,381678
5LF6ocXwOQC7TMddAbC3zK,Binocular,33,10555
36qOXUtUq5HjaP1wet4ePl,Capture,31,64403
4qBgvVog0wzW75IQ48mU7v,KYLE,65,1017684
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,72,3685276
4QLlbZcntdcWpm40NooC2M,Maiyarap,47,321247
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,83,26351279
5zMgvYBz4AW0gFyPtg7fR9,A*Teens,49,165274
2HVtGhO88wYqktLxpDIUI3,Groove Riders,38,94811
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,87,80622969
5THaOlI8Qr3Za3FD6FnWvK,John Surman,32,21238
0cxdWEvJApuMTIvWdPjUvO,โจ-ป๊อป,26,967
6zOWc1PkZQNr5mDOgWyc9x,Ton Thanasit,30,59598
4hqDqHtBlgxXpLXVYf7c8L,Ashlee Simpson,49,841157
0hEurMDQu99nJRq8pTxO14,John Mayer,76,5543874
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,64,3284841
6bA04rIWbVKTFJcs6DGT8P,XL Step,18,2053
1Zp054Jc86WVKCxKEqZGOA,Jack Garratt,46,352582
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,69,5645323
4e3QCzBNkr0t3GGqo86Ofl,Stamp,51,450471
3mPc8WGusz2XF3Tvs3AKCR,Carlie Hanson,52,388274
0eS2ZGOnJi5Cp4ASTy4aBc,Benne,47,15765
481VlDdXZAIRxnHyywNbXn,Leighton Meester,50,107863
0kkxsdcaWmWU2yWAqclDh4,Rixton,60,718780
6LDu2CLsVUJB23uTsx2MWo,MARINA,24,22462
43G7qlx7v7OGJJrUTXIqLq,Ivy Adara,45,104762
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,81,4647422
7FgMLbnZVrEnir95O0YujA,Five For Fighting,58,739949
6TbBwWQ668tRh7E7xs0jYO,PORTRAIT,36,34295
2wY79sveU1sp5g7SokKOiI,Sam Smith,81,19666712
4ztgw56xBHUOm0yb7ubz7K,Earn Piyada,36,6084
0Zoe6ljAJo85rggnN6OaOF,92914,48,168474
6GBIcdZ5aBhhsd7Y6c3O3g,SLAPKISS,45,9211
6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,69,1540566
2qdONMCoDngQk0eV4Avs1i,Natalie La Rose,52,106914
7zdbUZvzBn4Y2W0uMcJnqu,U.H.T.,23,8256
6biI2KAsW3nrI8xzSwwxuo,Jaonaay,42,161005
1ssEwBiz4ZKrbgR6o8vOeg,Polycat,50,633656
0t3QQl52F463sxGXb1ckhB,Betty Who,56,274807
4TrraAsitQKl821DQY42cZ,Sigrid,65,632762
7bu3H8JO7d0UbMoVzbo70s,The Cure,72,3776374
6xeFne1rkxMhKSW3ipvkdV,Toploader,60,70170
72eVco16BxQJe5nE1vY72F,JAYLERR,35,54995
306JHpIRGVaQd6OltnOzUO,Nine Days,50,84180
00TKPo9MxwZ0j4ooveIxWZ,Loote,62,189445
70IRyiXZdU8eIY56M0sBta,AG,42,10774
69u5rPwWBKP7pJHpCGB9O5,MoTrip,54,455508
2pst3pDewxsl4kJERuDZpp,Overcoats,41,54511
57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson,66,6166762
1koahA4L2b5ZFjaFC05pbk,Mêlée,32,7412
26VFTg2z8YR0cCuwLzESi2,Halsey,82,17972768
4IYocudwewhFDpAErwolWM,Wan Thanakrit,40,197444
6rwEDzogsmiJGMjUsGn8vn,The Ivy,40,31235
1Nl94lwMo2ujvEOgAVqbHX,รวมศิลปิน (All KamiKaze),10,319
5DU5PyU8u0JZSRyJdMWgsl,Fymme Bongkot,34,18354
1UYjFeWiTTiOfDRYvUmJul,Bird Thongchai,46,555525
6xdRb2GypJ7DqnWAI2mHGn,MUNA,60,208842
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,74,5072693
2PfxoKmrvMLvTAkn5azNZ6,KLEAR,43,565929
0gRwU1DXqqHTHN6LYcwdX4,Endorphine,36,120545
3D4pL0JOHqSrVsToa6IaoV,มาร์ค,26,702
4esoPgrgPKbWa6gwU8EGmH,Tilly Birds,57,323364
04gDigrS5kc9YWfZHwBETP,Maroon 5,84,36785334
5QqCSh9Ri3B7Tw6HNQkPQH,MILES,43,27413
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,75,7908372
,,,
,,,
,,,
10exVja0key0uqUkk6LJRT,Vance Joy,75,2643783
4NZvixzsSefsNiIqXn0NDe,Maggie Rogers,64,837562
1Eie0tY91rpi7Y0jtIOXzI,Wingtip,49,52450
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,67,2351892
4qIVPF0s71ZYW3qzhu5GkF,Kina,67,723982
1s3peKJ48a120brN7beQq9,AIM,1,48
4gfocoQaeR4eim74d5EIQV,Vaughan Penn,12,896
7rZNSLWMjTbwdLNskFbzFf,Sugababes,60,607341
4qOzMSukiZoiSjPQw8Zs7s,Mansionair,56,161075
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,75,8848309
25NQNriVT2YbSW80ILRWJa,Faith Hill,62,1559532
5mZD78snaOoIJGOOFEbXFA,O-Pavee,39,85493
4jGPdu95icCKVF31CcFKbS,Gentle Bones,57,63351
5qa31A9HySw3T7MKWI9bGg,FLETCHER,65,623328
1KCSPY1glIKqW2TotWuXOR,P!nk,78,13266122
2DWxd6CkiJVMnTqSbtd56H,Season Five,43,212641
7avbd4MMu89B9ueC3udvbf,The Yers,37,53491
2eam0iDomRHGBypaDQLwWI,Bleachers,61,547976
