endTime,artistName,trackName,msPlayed
2021-12-04 17:46,XL Step,อย่าถามเลย,1380
2021-12-04 17:46,XYZ,สบายดีหรือเปล่า,870
2021-12-04 17:46,MEAN,เป็นอดีต,660
2021-12-04 17:46,Big Sean,Bounce Back,920
2021-12-04 17:46,OneRepublic,Secrets,700
2021-12-04 17:46,The Band CAMINO,Less Than I Do,730
2021-12-04 17:46,Bird Thongchai,อยู่คนเดียว,3540
2021-12-04 17:46,Nelly Furtado,Promiscuous,660
2021-12-04 17:46,Florida Georgia Line,Anything Goes,0
2021-12-04 17:46,Robinson,Medicine,1790
2021-12-04 17:46,Toffy,คำถาม,860
2021-12-04 17:46,Wiz Khalifa,Promises,720
2021-12-04 17:46,Mark Forster,Einmal,1240
2021-12-04 17:46,P!nk,Try,880
2021-12-04 17:46,Bird Thongchai,ช่วยรับที,1010
2021-12-04 17:46,Bruno Mars,Marry You,950
2021-12-04 17:46,MoTrip,So wie du bist,1030
2021-12-04 17:46,Post Malone,Paranoid,980
2021-12-04 17:46,Khalid,Another Sad Love Song,730
2021-12-04 17:50,Chilling Sunday,Status,217430
2021-12-04 17:52,Alec Benjamin,Oh My God,570
2021-12-04 17:52,Rihanna,Stay,158950
2021-12-04 17:53,LANY,if this is the last time,31360
2021-12-04 17:57,Jeremy Zucker,selfish,1190
2021-12-04 17:57,Jeremy Zucker,selfish,1440
2021-12-04 17:57,NONT TANONT,พิง - เพลงประกอบละคร กระเช้าสีดา,222890
2021-12-04 17:57,Chelsea Cutler,Sad Tonight - Acoustic,1440
2021-12-04 17:57,Breakfast In Bed,เพิ่งรู้ว่ารัก,1150
2021-12-04 17:57,Lipta,อ่อนแอ,10140
2021-12-04 17:57,Anthony Peebles,Same Mistake,1070
2021-12-04 17:57,Lady Gaga,Just Dance,800
2021-12-04 18:01,Color Pitch,ขัดใจ,1790
2021-12-04 18:01,Kehlani,Already Won,1070
2021-12-04 18:01,Beyoncé,"Listen (From the Motion Picture ""Dreamgirls"")",1320
2021-12-04 18:01,Sam Smith,"Baby, You Make Me Crazy",1050
2021-12-04 18:01,Evalyn,Ride or Die,1250
2021-12-04 18:01,Amy Kuney,Gasoline Rainbows,1670
2021-12-04 18:01,JETSET'ER,น้ำผึ้งพระจันทร์,1400
2021-12-04 18:01,Slot Machine,ผ่าน,880
2021-12-04 18:01,Lipta,อ่อนแอ,249290
2021-12-04 18:06,Thomas Rhett,Leave Right Now,1109
2021-12-04 18:06,Hoobastank,The Reason,789
2021-12-04 18:06,Rose Sirintip,อย่าเปลี่ยนไป,116687
2021-12-04 18:10,Pramote Vilepana,แค่คนอีกคน,234360
2021-12-04 18:13,พราว,เธอคือความฝัน,162345
